Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
2/25/2011;0.25;0.375;0.25;0.25;-0.125
2/28/2011;0.25;0.375;0.25;0.25;-0.125
3/1/2011;0.25;0.375;0.25;0.25;-0.125
3/2/2011;0.25;0.375;0.25;0.25;-0.125
3/3/2011;0.25;0.375;0.25;0.25;-0.125
3/4/2011;0.25;0.375;0.25;0.25;-0.125
3/9/2011;0.222222222222222;0.444444444444444;0.222222222222222;0.222222222222222;-0.111111111111111
3/10/2011;0.222222222222222;0.444444444444444;0.222222222222222;0.222222222222222;-0.111111111111111
3/11/2011;0.222222222222222;0.444444444444444;0.222222222222222;0.222222222222222;-0.111111111111111
3/14/2011;0.222222222222222;0.444444444444444;0.222222222222222;0.222222222222222;-0.111111111111111
3/15/2011;0.222222222222222;0.444444444444444;0.222222222222222;0.222222222222222;-0.111111111111111
3/16/2011;0.25;0.5;0.25;0.25;-0.25
3/17/2011;0.25;0.5;0.25;0.25;-0.25
3/18/2011;0.25;0.5;0.25;0.25;-0.25
3/21/2011;0.25;0.5;0.25;0.25;-0.25
3/22/2011;0.25;0.5;0.25;0.25;-0.25
3/23/2011;0.25;0.5;0.25;0.25;-0.25
3/24/2011;0.25;0.5;0.25;0.25;-0.25
3/25/2011;0.25;0.5;0.25;0.25;-0.25
3/28/2011;0.25;0.5;0.25;0.25;-0.25
3/29/2011;0.25;0.5;0.25;0.25;-0.25
3/30/2011;0.25;0.5;0.25;0.25;-0.25
3/31/2011;0.25;0.5;0.25;0.25;-0.25
4/1/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/4/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/5/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/6/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/7/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/8/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/11/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/12/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/13/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/14/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/15/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/18/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/19/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/20/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/25/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/26/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/27/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/28/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
4/29/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
5/2/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
5/3/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
5/4/2011;0.222222222222222;0.555555555555556;0.222222222222222;0.222222222222222;-0.222222222222222
5/5/2011;0.2;0.6;0.2;0.2;-0.2
5/6/2011;0.2;0.6;0.2;0.2;-0.2
5/9/2011;0.2;0.6;0.2;0.2;-0.2
5/10/2011;0.2;0.6;0.2;0.2;-0.2
5/11/2011;0.2;0.6;0.2;0.2;-0.2
5/12/2011;0.2;0.6;0.2;0.2;-0.2
5/13/2011;0.2;0.6;0.2;0.2;-0.2
5/16/2011;0.2;0.6;0.2;0.2;-0.2
5/17/2011;0.2;0.6;0.2;0.2;-0.2
5/18/2011;0.2;0.6;0.2;0.2;-0.2
5/19/2011;0.2;0.6;0.2;0.2;-0.2
5/20/2011;0.2;0.6;0.2;0.2;-0.2
5/23/2011;0.2;0.6;0.2;0.2;-0.2
5/24/2011;0.2;0.6;0.2;0.2;-0.2
5/25/2011;0.2;0.6;0.2;0.2;-0.2
5/26/2011;0.2;0.6;0.2;0.2;-0.2
5/27/2011;0.2;0.6;0.2;0.2;-0.2
5/30/2011;0.2;0.6;0.2;0.2;-0.2
5/31/2011;0.2;0.6;0.2;0.2;-0.2
6/1/2011;0.2;0.6;0.2;0.2;-0.2
6/2/2011;0.2;0.6;0.2;0.2;-0.2
6/3/2011;0.2;0.6;0.2;0.2;-0.2
6/6/2011;0.2;0.6;0.2;0.2;-0.2
6/7/2011;0.2;0.6;0.2;0.2;-0.2
6/8/2011;0.2;0.6;0.2;0.2;-0.2
6/9/2011;0.2;0.6;0.2;0.2;-0.2
6/10/2011;0.2;0.6;0.2;0.2;-0.2
6/13/2011;0.2;0.6;0.2;0.2;-0.2
6/14/2011;0.2;0.6;0.2;0.2;-0.2
6/15/2011;0.2;0.6;0.2;0.2;-0.2
6/16/2011;0.2;0.6;0.2;0.2;-0.2
6/17/2011;0.2;0.6;0.2;0.2;-0.2
6/20/2011;0.2;0.6;0.2;0.2;-0.2
6/21/2011;0.2;0.6;0.2;0.2;-0.2
6/22/2011;0.2;0.6;0.2;0.2;-0.2
6/24/2011;0.2;0.6;0.2;0.2;-0.2
6/27/2011;0.2;0.6;0.2;0.2;-0.2
6/28/2011;0.2;0.6;0.2;0.2;-0.2
6/29/2011;0.2;0.6;0.2;0.2;-0.2
6/30/2011;0.2;0.6;0.2;0.2;-0.2
7/1/2011;0.2;0.6;0.2;0.2;-0.2
7/4/2011;0.2;0.6;0.2;0.2;-0.2
7/5/2011;0.2;0.6;0.2;0.2;-0.2
7/6/2011;0.2;0.6;0.2;0.2;-0.2
7/7/2011;0.2;0.6;0.2;0.2;-0.2
7/8/2011;0.2;0.6;0.2;0.2;-0.2
7/11/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/12/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/13/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/14/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/15/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/18/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/19/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/20/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/21/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/22/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/25/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/26/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/27/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/28/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
7/29/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
8/1/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
8/2/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
8/3/2011;0.111111111111111;0.666666666666667;0.222222222222222;0.222222222222222;-0.222222222222222
8/4/2011;0.125;0.75;0.25;0.125;-0.25
8/5/2011;0.125;0.75;0.25;0.125;-0.25
8/8/2011;0;1.2;0.4;0;-0.6
8/9/2011;0;1.2;0.4;0;-0.6
8/10/2011;0;1.2;0.4;0;-0.6
8/11/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/12/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/15/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/16/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/17/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/18/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/19/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/22/2011;0;0.857142857142857;0.285714285714286;0.142857142857143;-0.285714285714286
8/23/2011;0;0.75;0.375;0.125;-0.25
8/24/2011;0;0.75;0.375;0.125;-0.25
8/25/2011;0;0.75;0.375;0.125;-0.25
8/26/2011;0;0.75;0.375;0.125;-0.25
8/29/2011;0;0.75;0.375;0.125;-0.25
8/30/2011;0;0.75;0.375;0.125;-0.25
8/31/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/1/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/2/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/5/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/6/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/8/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/9/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/12/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/13/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/14/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/15/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
9/16/2011;0.111111111111111;0.666666666666667;0.333333333333333;0.111111111111111;-0.222222222222222
