Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
5/15/2012;-2.58;-1.74;-0.17;-8.04;-2.11
5/16/2012;-4.93;-4.20;-0.75;4.33;-5.07
5/17/2012;-7.66;-5.18;-1.03;-0.13;-8.73
5/18/2012;0.51;-7.91;-1.36;3.34;2.65
5/21/2012;6.00;-1.40;-1.40;10.32;5.87
5/22/2012;5.58;-2.86;-0.37;-3.38;4.73
5/23/2012;5.44;-5.50;-2.94;-5.82;5.74
5/24/2012;4.03;-7.31;-2.54;-8.57;4.44
5/25/2012;5.25;2.65;-3.22;-0.32;2.82
5/28/2012;5.53;5.70;-2.80;0.48;3.85
5/29/2012;4.58;4.92;-2.35;0.80;5.24
5/30/2012;4.05;4.21;-2.08;-1.85;4.83
5/31/2012;8.25;6.66;-0.82;2.40;5.57
6/1/2012;-2.41;-0.46;-5.60;0.67;3.93
6/4/2012;-3.92;0.00;-6.99;2.33;3.65
6/5/2012;-5.44;1.92;-0.49;0.70;3.46
6/6/2012;-1.25;4.27;4.28;2.24;6.41
6/8/2012;-1.84;3.67;2.95;1.15;0.87
6/11/2012;-0.83;3.99;2.06;-1.45;-0.31
6/12/2012;0.89;5.57;3.66;-0.31;1.94
6/13/2012;1.06;3.51;3.52;1.31;2.41
6/14/2012;1.13;2.81;3.93;-2.56;2.31
6/15/2012;3.26;0.66;4.20;-0.47;3.73
6/18/2012;2.60;2.90;6.65;1.42;4.54
6/19/2012;4.19;6.06;2.08;5.39;7.13
6/20/2012;2.78;-0.14;1.51;6.66;0.35
6/21/2012;-1.14;-1.99;-0.76;-3.17;-2.16
6/22/2012;-3.22;-2.76;-1.56;-1.72;-2.26
6/25/2012;-7.00;-1.09;-1.09;-10.67;-3.75
6/26/2012;-0.15;1.57;-0.10;1.12;-1.92
6/27/2012;1.14;1.94;-1.76;-0.87;-2.15
6/28/2012;0.20;3.06;-1.02;-0.53;-3.47
6/29/2012;4.01;2.27;0.71;2.57;-1.30
7/2/2012;4.38;1.63;-0.95;3.18;-1.38
7/3/2012;6.39;2.14;1.52;6.61;0.49
7/4/2012;0.59;2.65;2.94;-0.21;0.86
7/5/2012;1.72;3.84;1.54;3.22;2.09
7/6/2012;1.04;4.16;0.58;1.18;0.56
7/10/2012;-3.44;3.58;-1.22;-3.04;-1.70
7/11/2012;-3.01;3.75;-0.97;-2.23;-2.27
7/12/2012;-1.97;4.00;-2.40;-2.01;-2.65
7/13/2012;0.85;4.83;-2.22;3.21;-0.81
7/16/2012;0.74;5.99;-3.22;2.19;-2.18
7/17/2012;-0.01;7.29;-3.57;1.67;-2.29
7/18/2012;2.38;-0.16;-1.44;2.09;-2.65
7/19/2012;4.31;0.89;-1.06;3.59;-2.73
7/20/2012;3.94;2.41;-1.92;1.35;-4.52
7/23/2012;1.11;-0.19;-0.97;0.20;-7.16
7/24/2012;4.50;0.70;-2.76;-0.70;-4.69
7/25/2012;5.19;0.92;-3.11;0.42;-4.78
7/26/2012;7.96;-1.69;1.10;1.79;-4.01
7/27/2012;3.71;-0.30;4.17;6.51;-0.03
7/30/2012;6.46;-0.06;4.98;0.69;-0.27
7/31/2012;-2.47;-3.71;2.70;-3.30;-1.11
8/1/2012;-3.16;-3.20;3.49;-1.66;-0.70
8/2/2012;-4.89;-2.21;1.71;-2.76;-1.99
8/3/2012;-1.87;-0.34;1.62;-1.03;-0.82
8/6/2012;0.40;-0.92;3.67;-1.13;0.27
8/7/2012;1.33;-1.93;2.86;0.53;0.30
8/8/2012;3.61;0.37;2.16;5.12;1.28
8/9/2012;2.61;-0.03;1.70;4.27;2.03
8/10/2012;3.70;-1.10;1.05;4.61;2.32
8/13/2012;3.03;-2.60;0.05;4.41;2.32
8/14/2012;2.27;-2.63;0.68;3.51;-1.45
8/15/2012;2.74;-2.68;0.68;4.52;-3.49
8/16/2012;4.72;-2.40;0.68;6.46;-2.31
8/17/2012;5.13;-3.03;-0.19;0.42;-5.12
8/20/2012;4.23;-3.20;-0.55;0.56;-3.23
8/21/2012;3.65;-6.45;-3.22;-1.02;-4.07
8/22/2012;4.03;0.60;-1.73;0.16;-3.96
8/23/2012;3.36;0.78;-0.82;-0.82;-7.13
8/24/2012;3.24;0.60;-0.42;-1.05;-0.79
8/27/2012;1.74;2.06;-0.56;-0.39;-2.35
8/28/2012;1.74;4.02;-1.05;-0.53;-2.38
8/29/2012;-0.68;5.08;-1.62;-1.14;-5.14
8/30/2012;-1.26;4.92;-1.69;-1.95;-5.57
8/31/2012;-3.72;3.37;0.57;-3.32;-2.91
9/3/2012;-2.57;5.69;0.21;-3.66;-3.18
9/4/2012;-4.59;4.81;-1.44;-4.87;-6.11
9/5/2012;-4.28;5.86;-1.85;-4.08;1.37
9/6/2012;-1.42;6.33;1.46;-2.09;6.07
9/10/2012;-0.83;-2.83;-1.19;-1.00;2.96
9/11/2012;0.24;-1.38;-0.43;1.31;5.64
9/12/2012;2.88;-2.01;-0.76;2.55;6.31
9/13/2012;4.92;-4.53;0.60;6.69;2.78
9/14/2012;6.08;-2.77;1.10;1.75;3.88
9/17/2012;-1.15;-4.08;1.52;1.53;4.81
9/18/2012;-3.52;-2.61;-0.01;1.32;5.33
9/19/2012;-3.47;-1.19;-0.13;-0.97;4.24
9/20/2012;-4.20;0.79;0.45;0.18;3.52
9/21/2012;-3.61;-1.65;1.43;-0.82;1.24
9/24/2012;-3.28;-5.09;2.18;0.32;1.62
9/25/2012;-9.29;-11.48;2.01;-0.64;-1.13
9/26/2012;0.54;0.02;1.87;-0.51;-0.82
9/27/2012;-0.72;1.53;2.68;-0.77;-1.07
9/28/2012;-3.61;-5.82;1.81;-2.26;-2.69
10/1/2012;-2.05;-6.45;4.03;-1.64;-2.77
10/2/2012;-2.54;-0.54;5.45;-0.80;-3.03
10/3/2012;-3.83;0.06;4.90;-2.38;-4.34
10/4/2012;-3.67;5.15;6.47;-2.11;-3.39
10/5/2012;-2.89;5.42;1.46;-2.78;-3.50
10/8/2012;-2.66;5.09;3.44;-2.06;-0.55
10/9/2012;-5.12;2.97;0.59;-2.91;0.20
10/10/2012;-7.44;2.38;1.33;-3.36;-0.99
10/11/2012;0.85;3.16;1.75;-1.64;-0.01
10/15/2012;1.39;1.61;2.95;-0.31;0.01
10/16/2012;1.72;0.65;3.86;-0.31;2.06
10/17/2012;1.69;3.59;4.58;-1.10;3.62
10/18/2012;1.42;-1.64;5.82;-1.63;3.12
10/19/2012;0.35;-1.10;4.03;-2.74;1.40
10/22/2012;-0.16;-5.99;3.32;-3.64;1.04
10/23/2012;-3.33;-10.81;2.94;-5.36;-1.33
10/24/2012;0.75;3.01;2.08;-5.97;-2.11
10/25/2012;2.17;5.83;2.02;-4.99;3.46
10/26/2012;0.81;8.45;1.91;-3.38;2.77
10/29/2012;0.84;1.54;3.66;-6.77;3.15
10/30/2012;2.06;5.28;3.13;0.84;3.93
10/31/2012;1.19;3.14;2.89;-2.55;3.88
11/1/2012;5.62;6.72;2.89;-2.31;6.13
11/5/2012;5.53;1.44;3.58;-0.44;-0.65
11/6/2012;6.46;3.24;3.61;1.63;0.09
11/7/2012;-2.50;3.89;2.89;-0.67;-0.96
11/8/2012;-4.73;4.74;1.57;-3.36;-3.00
11/9/2012;-4.66;3.76;0.16;-2.54;-2.25
11/12/2012;-4.73;4.08;0.38;-4.18;-3.08
11/13/2012;-2.88;4.63;1.95;-4.03;-2.33
11/14/2012;-4.26;4.25;1.10;-7.30;-4.17
11/16/2012;-3.90;5.56;4.27;-3.89;-6.92
11/19/2012;-0.80;5.69;4.23;-3.36;1.21
11/21/2012;0.43;5.01;5.84;-6.02;2.27
11/22/2012;1.61;4.83;5.14;0.16;2.21
11/23/2012;2.77;5.92;6.62;2.95;3.59
11/26/2012;0.94;6.20;-0.42;1.12;3.09
11/27/2012;-0.62;1.18;-0.65;-0.53;3.09
11/28/2012;-0.17;2.70;0.31;0.23;1.66
11/29/2012;2.36;3.49;-0.07;2.91;5.59
11/30/2012;2.99;0.60;2.84;0.35;5.86
12/3/2012;5.71;-0.42;4.54;2.17;5.80
12/4/2012;4.62;-1.34;2.64;1.22;4.11
12/5/2012;5.14;-2.39;1.92;1.87;5.86
12/6/2012;4.81;-1.93;2.53;0.60;5.59
12/7/2012;4.99;-1.47;2.03;2.63;6.49
12/10/2012;5.06;-0.98;2.22;5.20;1.38
12/11/2012;5.70;-0.35;2.71;7.34;3.38
12/12/2012;5.30;-0.37;2.32;-0.70;3.91
12/13/2012;5.36;-1.02;3.04;-2.11;4.30
12/14/2012;4.51;-1.46;2.33;1.16;7.47
12/17/2012;4.82;-1.73;2.89;-0.27;1.41
12/18/2012;5.40;-0.72;3.46;0.98;3.12
12/19/2012;8.93;-0.87;3.68;4.75;1.93
12/20/2012;-0.44;-0.54;0.83;5.32;2.66
12/21/2012;1.06;-0.54;0.36;3.61;1.91
12/26/2012;0.01;-0.88;-0.56;0.56;2.37
12/27/2012;-1.65;1.53;0.86;-2.67;2.64
12/28/2012;-1.01;3.05;0.79;-2.11;2.82
1/2/2013;2.30;5.67;1.19;-1.24;7.05
1/3/2013;5.29;6.18;2.44;2.37;-1.20
1/4/2013;4.38;0.26;1.75;2.76;-3.38
1/7/2013;2.99;0.34;1.81;0.81;-5.37
1/8/2013;3.40;-1.15;1.93;-2.08;-5.99
1/9/2013;5.00;-4.50;3.42;-1.16;-5.50
1/10/2013;3.73;-5.52;2.80;-0.40;-4.83
1/11/2013;3.99;-6.02;2.46;-0.14;-7.39
1/14/2013;5.21;0.35;2.98;-0.29;0.61
1/15/2013;3.97;0.07;4.29;-0.45;0.31
1/16/2013;4.86;-1.45;6.32;-0.34;0.38
1/17/2013;6.56;-0.31;1.33;-1.00;0.56
1/18/2013;0.34;-1.40;1.62;-1.66;-0.82
1/21/2013;-0.39;-0.15;1.43;-2.63;-0.95
1/22/2013;0.73;-0.26;1.85;-1.65;0.17
1/23/2013;-0.65;-0.24;1.82;-1.80;-0.05
1/24/2013;-0.54;-0.97;2.20;-1.49;-2.26
1/28/2013;-3.17;-0.50;0.30;-2.72;-4.69
1/29/2013;-3.31;1.71;2.42;-4.06;-3.52
1/30/2013;-5.21;0.61;3.07;-8.82;-5.73
1/31/2013;-4.45;1.90;3.75;-0.66;-1.95
2/1/2013;-4.99;4.26;2.38;1.44;-0.65
2/4/2013;-7.33;4.18;3.66;-1.05;-1.80
2/5/2013;2.52;3.66;2.91;-0.61;-3.48
2/6/2013;0.44;2.26;2.32;-3.26;-2.43
2/7/2013;-0.18;-0.15;1.61;-3.83;-5.13
2/8/2013;1.62;-0.04;2.38;-2.46;-4.38
2/13/2013;1.35;-1.29;1.84;-2.12;-5.26
